French,English
Documents justificatifs,Supporting Documents
Détails Pour:,Details For:
Oui: Non,Yes : No
L'Examen Des Taux,Rate Review
Examiner Les Taux D'Intérêt En Vrac,Review Bulk Interest Rates
- Sélectionnez l'Indice des prix -,-- Select Price Index --
Liste d'examen des taux d'intérêt,Interest Rate Review List
L'Examen Des Taux,Rate Review
Examens des taux en attente,Pending Rate Reviews
Demande d'examen des taux d'intérêt en attente,Pending Interest Rate Review Application
Application Du Taux De,Rate Application
Nouvelle Exemption,New Exemption
Liste d'exemption pour Examen des Taux en masse,Bulk Rate Review Exemption List
Exemptions de taux,Rate Exemptions
Recherche De Prêt,Search For Loan
Libération de Crédit des Contingents,Contingent Facility Release
-- Sélectionnez Compte Nostro --,-- Select Nostro Account --
Numéro de Référence Juridique,Legal Reference Number
Montant Approuvé par le Groupe,Group Approved Amount
Peut partager?,Can Share?
Mémo de prélèvement ,Drawdown Memo
Contrat de Prêt,Loan Covenant
Classe de Contrat,Covenant Class
Sélectionnez la classe de Contrat,-- Select Covenant Class--
Retour À La Liste,Back To List
Télécharger les documents justificatifs,Upload Supporting Documents
Téléchargement de Documents de nouvelle libération,New Release Document Upload
Opération de Restructuration de Prêts,Loan Restructuring Operation
RESTRUCTURATION,RESTRUCTURE
Détails de l'approbation de l'Examen des Prêts,Loan Review Approval Details
Restructuration,Restructure
Opérations De Prêt De,Loan Operations
Plan de Paiement,Payment Plan
Date D'entrée En Vigueur Proposée,Proposed Effective Date
Est-Gestion de-Taux,Is-Management-Rate
Sous Allocation de Découvert,Overdraft Sub Allocation
Montant du Prépaiement,Prepayment Amount
Recharge de découvert,OverDraft Topup
Montant des frais,Fee Charges Amount
Résiliation Et Nouvelle Réservation,Termination And ReBook
OUI,YES
NON,NO
Annulation complète,Complete Write-Off
Annuler Le Prêt Non Décaissé,Cancel Undisbursed Loan
Date de Paiement du Principal,Principal Payment Date
Date de Paiement des Intérêts,Interest Payment Date
Recherche De Prêt,Search For Loan
Recherche Pour Le Compte,Search For Account
Détails Du Compte Pour,Account Details For
Date Terminale,Terminal Date
Montant du découvert,Overdraft Amount
Est Compte Courant,Is Current Account
Action Par,Action By
Taux d'intérêt de découvert,Overdraft Interest Rate
Date d'Expiration du Découvert,Overdraft Expiry Date
Publier aucun statut,Post No Status
Ancien Numéro de Compte Produit,Old Product Account Number
Plans de paiement,Payment Plans
Date,Date
Montant,Amount
Opération de EOD,EOD Operation
Date,Date
Exécuter en fin de journée,Run End Of Day
Routage HOU,HOU Routing
Les Demandes De Prêt,Loan Applications
Personne Responsable,Responsible Person
Demandes d'Examen de Prêt,Loan Review Applications
Garanties de client -,Customer Collaterals -
--- Sélectionnez le type de version ---,--- Select Release Type ---
La Libération Finale,Final Release
Libération Temporelle,Temporal Release
Remarque,Note
Historique des Garanties,Collateral History
Montant utilisé (par Principal):,Amount Used (by Principal):
Montant utilisé (par Encours):,Amount Used (by Outstanding):
Valeur de la garantie:,Collateral Value:
Valeur disponible (par principal):,Available Value (by Principal):
Valeur disponible (par Encours):,Available Value (by Outstanding):
Montant Utilisé,Amount Used
Montant Utilisé,Amount In Used
Date utilisée,Date Used
Date d'expiration,Expiration Date
Document principal,Primary Document
Champs Prédéfinis,Predefined Fields
Liste des Listes De Contrôle Différées Et Annulées,List of Deferred And Waived Checklist
Durée du report,Deferral Duration
Jours cumulés,Cumulative Days
Personnel actuel,Current Staff
Affichez,View
Réaffecter l'approbation de la liste de contrôle,Reassign checklist Approval
Prolonger le report de la liste de contrôle,Extend Checklist Deferral
Fournir une liste de contrôle différée,Provide Deferred Checklist
Report de la liste de contrôle pour,Checklist deferral for
Le personnel:,Staff:
Détails du Report,Deferral Details
Les Documents Téléchargés,Uploaded Documents
Documents supprimés,Deleted Documents
Téléchargements de Report,Deferral Uploads
Mémo de report,Deferral Memo
Imprimer,Print
Prolonger le report de la liste de contrôle,Extend Checklist Deferral
Raison de la prolongation,Reason for Extension
Date de Prolongation,Extension Date
A un document justificatif?,Has Supporting Document?
Téléchargement Différé de la Liste de Contrôle,Deferred Checklist Upload
Document de la liste de contrôle,Checklist Document
Exclure juridique?,Exclude Legal?
Mémo de report / renonciation,Deferral/Waiver Memo
Concession de Frais de Produit Client,Customer Product Fee Concession
Numéro de Compte Client,Customer Account No
Définir les Frais de Produit Client:,Set Customer Product Fee:
Produit,Product
-- Sélectionner un produit --,-- Select product --
--- Sélectionnez les Frais de Produit ---,--- Select Product Fee ---
Taux / Valeur,Rate/Value
Montant à charge,Dependent Amount
Frais de Produits Clients Existants,Existing Customer Products Fee
Type de Taux / Valeur,Rate/Value Type
Remplacer la Demande,Override Request
Nouveau remplacement,New Override
Annuler,Overide
Remplacer la Demande,Override Request
La Recherche De Client,Customer Search
Code de Client,Customer Code
Remplacement autorisé,Allowed Override
Rapport de site de projet,Project Site Report
Liste des Crédits,List of Facilities
Obtenez le Crédit,Get Facility
Créer Un Rapport,Create Report
Rapport de site de projet,Project Site Report
Date De L'Inspection,Inspection Date
Tous Les Commentaires,All Comment
ANALYSE DES PERFORMANCES,PERFORMANCE ANALYSIS
Montant Demandé :,Amount Requested :
L'ÉVALUATION DE LA PERFORMANCE,PERFORMANCE EVALUATION
Décaissé à ce jour,Disbursed To date
COMMENTAIRE DE L'INSPECTION,COMMENT FROM INSPECTION
Ajouter les Images De Soutien,Add Supporting Images
commentaire,comment
COMMENTAIRE DES IMAGES DE SOUTIEN,COMMENT SUPPORING IMAGES
ID,ID
Légende de l'Image,Image Caption
Remplacer,Replace
OBSERVATIONS ET IMPACT,OBSERVATIONS AND IMPACT
RECOMMANDATION,RECOMMENDATIONS
TÂCHES POUR LA PROCHAINE INSPECTION,TASKS FOR NEXT INSPECTION
IMAGES DU SITE DU PROJET,PROJECT SITE IMAGES
Images de Soutien,Supporting Images
Application de Recherche,Search Application
Numéro de Référence de la Demande de Prêt / Nom du Client,Loan Application Reference Number /Customer Name
Rapport de site de projet,Project Site Report
Sélectionnez le Type de Crédit,Select Facility Type
Emplacement du Projet,Project Location
Date de Début du Projet,Project Commencement Date
Date d'Achèvement du Projet (Prévue),Project Completion Date (Planned)
Liste des Crédits,List Of Facilities
Commentaire,Comment
Observation,Observation
Prochaine Tâche d'Inspection,Next Inspection Task
Prochaine Date d'Inspection,Next Inspection Date
Est Fait,Is Done
Recommandation,Recommendation
Analyse des Performances,Performance Analysis
La valeur de la Garantie,Value of Collateral
L'Évaluation De La Performance,Performance Evaluation
Coût Actuel Du Projet,Current Project Cost
PMU Assessd VOWD À Ce Jour,PMU Assessd VOWD To Date
Montant Déboursé À Ce Jour,Amount Disbursed To Date
Consultant Indépendant VOWD À Ce Jour,Independent Consultant VOWD To   Date
Variation De Coût,Cost Variation
La Variation De Temps,Time Variation
Certifié VOWD À Ce Jour,Certified VOWD To Date
Montant APG reçu,APG Amount  Received
APG amorti,Amortised  APG
Liste des Crédits,List of Facilities
Nom du Responsable des Relations,Relationship Officer Name
Commentaires du Site Images,Site Comment Images
Télécharger La Photo.,Upload Picture
Commentaire d'Images Du Projet ,Project Comment Images
Plan de Paiement de Recouvrement,Recovery Payment Plan
prêt,loan
Montant du Paiement,Payment Amount
Plan De Recouvrement,Recovery Plan
-- Sélectionnez plan de récupération --,-- Select recovery Plan --
Demande d'Examen de Prêt,Loan Review Application
Sélectionnez Type De Statut,Select Status Type
Nom du Client / Id Du Client ( Pour importer des Clients) / Numéro De Référence De L'Application,Customer Name / Customer Id (For importing Customers) / Application Reference Number
Type de Système de Prêt,Loan System Type
Performant,Performing
Radié,Written-Off
Détails du Prêt Sélectionné,Selected Loan Details
Nouvelle Application,New Application
Type d'activité,Activity type
-- Sélectionnez le Type d'activité --,-- Select Activity Type --
Durée (en jours),Duration (days)
Formulaire de Demande,Application Form
Soumettre La Demande,Submit Application
CRÉDIT TIERS,THIRD-PARTY FACILITIES
Frais manuel,Manual Fee
Nouveaux frais,New Fee
Soumettre des frais,Submit Fee
Évaluation de l'Examen des Prêts,Loan Review Appraisal
L'application sélectionnée est à,Selected application is at
Taux Approuvé,Approved Rate
Afficher l'états financiers,Show Finacial Statement
Enregistrer et Valider la Limite,Save and Validate Limit
Récupérer les Statistiques Du Compte,Fetch Account Statistics
Chargez le Chiffre d'Affaires de Client,Load Customer Turnover
Afficher les Statistiques Du Compte,Show Account Statistics
L'État De La Demande,Application Status
Aperçu Précédent,Preview Previous
Afficher le téléchargement du document,Show Document Upload
Dynamique des Transactions,Transaction Dynamics
Afficher la garantie,Show Collateral
Garanties proposées,Proposed Collaterals
Demandes De Travail,Job Requests
Gestion Transmettre Mémo,Management Convey Memo
Enregistrer et Fermer,Save and Close
Annulez,Cancel
De:,From:
--Sélectionner Le Mois--,--Select Month--
Jan,Jan
Feb,Feb
Mar,Mar
Apr,Apr
Jun,Jun
Jul,Jul
Aug,Aug
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dec
Compte,Accounts
-- Filtrer Par Compte Sélectionné --,-- Filter By Selected Account --
À:,To:
Solde Débiteur Le Plus Élevé,Highest Debit Balance
Solde Débiteur Le Plus Bas,Lowest Debit Balance
Solde Créditeur Le Plus Élevé,Highest Credit Balance
Solde Créditeur Le Plus Bas,Lowest Credit Balance
Lettre d'Offre d'Examen de Prêt,Loan Review Offer Letter
Renvoyez à CAP,Refer Back to CAP
Liste de Contrôle de la Lettre d'Offre,Offer Letter Checklist
Examen des prêts disponibles,Loan Review Availment
Détails de la Demande,Application Details
L'utilisation,Availment
Numéro de Demande de Crédit:,Facility Application Number:
Le Type De Crédit,Facility  Type
Fiche de conditions de client,Customer Term Sheet
- Sélectionnez le code des TERMES -,-- Select TERMSHEET Code --
Exiger des garanties,Require Collateral
-- Sélectionnez Exiger une garantie --,-- Select Require Collateral --
Une Demande Est-Elle Déjà Approuvée?,Is An Already Approved Application?
Ajouter Crédit,Add Facility
Montant du prêt avec une autre banque:,Loan Amount with Other Bank:
Est Concernant L'Employeur?,Is Employer Related?
-Sélectionnez L'Employeur-,-Select Employer-
Liste de(s) Crédit(s),List of facility(s)
Fournir un Profil d'Organisation et de Gestion,Provide Organisation and Management Profile
Structure de Propriété (%Propriété locale/étrangère),Ownership Structure (% Local/Foreign Ownership)
Enregistrez et Continuez,Save and Continue
Limit / Exposition,Limit / Exposure
Limite,Limit
Solde total initié,Total Initiated balance
Solde total approuvé,Total Approved balance
L'Exposition Totale :,Total Exposure :
Limite NPL de la succursale:,Branch NPL Limit :
Succursale NPL:,Branch NPL :
Succursale NPL à l'exposition totale:,Branch NPL To Total Exposure :
Détails du Crédit actuel,Current Facility Details
Détails du Passif Éventuel,Contingent Liability Details
Documents justificatifs,Supporting Documents
Recherche de prêt,Search for loan
Recherche De Prêt,Search For Loan
Résultat de la Recherche,Search Result
Affichez La Concession,View Concession
Concession de Frais de Prêt,Loan Fee Concession
Modifiez,Edit
-- Sélectionnez le type de concession --,-- Select Concession type --
Type de Frais de Prêt,Loan Fee Type
Valeur Par Défaut (%),Default Value (%)
Concession (%),Concession (%)
Utilisé (%),Used (%)
Montant Restant,Amount Remaining
Utilisation des Prêts Conditionnels ::,Contingent Loans Usage ::
Numéro de Compte,Account  Number
Montant Éventuel,Contingent Amount
Date de réservation,Book  Date
Date d'Échéance,Maturity  Date
Pourcentage Utilisé,Percentage Used
Pourcentage Demandé,Percentage Requested
Taux de Change,Exchange Rate
Valeur D'Échange,Exchange Amount
Formulaire de demande,Request Form
Remboursement Anticipé du Prêt,Loan Prepayment
Recherche de Client de Prêt,Search for Loan Customer
Passé En Raison De L'Intérêt,Past Due Interest
Principal en souffrance,Past Due Principal
L'Encours Total,Total Outstanding
Méthode de Paiement Anticipé,Prepayment Method
-- Sélectionnez la Méthode de Paiement Anticipé --,-- Select Prepayment Method --
Date d'Échéance,Maturity Date
Nouveau Plan de Paiement,New Payment Plan
Date,Date
Montant,Amount
Solde:,Balance:
Voyez les Détails du Prêt,View Loan Details
Opérations de Découvert,Overdraft Operations
Montant non prélevé,Undrawn Amount
Montant tiré,Drawn Amount
Date d'expiration,Expiry Date
Recherche Pour OD,Search For OD
Recherche Pour Le Compte,Search For Account
Plans de paiement,Payment Plans
Opération D'Examen des Prêts,Loan Review Operation
Méthode de Planification:,Schedule Method:
Principal Impayé:,Outstanding Principal:
Versement:,Installments:
N ° De Référence:,Reference No:
Intérêts en souffrance:,Past Due Interest:
L'Encours Total:,Total Outstanding:
Principal en souffrance:,Past Due Principal:
Intérêts sur le Capital en souffrance:,Interest on Past Due Principal:
Intérêts sur les intérêts en souffrance,Interest on Past Due Interest
Changer la date de Paiement du principale,Change Principal Pmt Date
Changez la date de Paiement d'intérêt,Change Interest Pmt Date
Ténor En Jours,Tenor In Days
Modifier le taux d'intérêt,Change Interate Rate
Montant à payer,Amount to Pay
RÉGLABLE,ADJUSTABLE
Sélectionnez Compte,Select Account
--- Sélectionnez un compte ---,--- Select Account ---
Saisissez,Type
Intérêt au premier jour,First Day Interest
Intérêt au deuxième jour,Second Day Interest
Modifier la date d'échéance,Change Maturity Date
Date,Date
Montant,Amount
Génération1,Generate1
%,%
Taux D'Intérêt (%),Interest Rate (%)
Réserver un nouveau prêt avec le numéro de référence:,Rebook Loan with Reference No:
Détails Du Compte Pour:,Account Details For:
Instruction Sur l'Échéance des Prêts Commerciaux,Commercial Loans Maturity Instruction
Montant cumulé,Accruled Amount
Nouvelle Instruction de Prêt,New Loan Instruction
Type d'instruction,Instruction Type
Document d'instruction,Instruction Document
Prêt commercial - Renouvelable,Commercial Loan - Rollover
Nouvelle Instruction de Prêt,New Loan Instruction
Définir l'instruction,Set Instruction
Prêt renouvelable,Roll-over Loan
Ajouter Ténor (jours),Add Tenor (days)
Ajouter Ténor,Add Tenor
Date De Valeur,Value Date
Prêts commerciaux-Prépaiement,Commercial Loans - Pre-payment
Rechercher la tranche de prêt en cours avec le numéro de référence du prêt,Search for running loan tranche with loan reference number
Lignes de Prêt en Cours,Running Loan Lines
Numéro de référence de ligne,Line Reference No
IR,IR
Montant du Principal encours,Oustanding Principal Amount
Les Intérêts À L'Échéance,Interest At Maturity
Ténor de Prêt (Jours),Loan Tenor (Days)
Ténor restant (Jours),Tenor Left (Days)
Compte d'Intérêt de CAP,Interest Cap Account
Paiement De Prêt,Loan Payment
Date d'entrée en vigueur du paiement,Payment Effective Date
Montant À Payer,Amount To Pay
Ajoutez Le Paiement,Add Payment
Prêts commerciaux-Sous-Allocation,Commercial Loans - Sub Allocation
Source De Données,Source Data
Processus de Sous Attribution,Sub Allocation Process
Source de tranche,Source Tranche
Destination de Tranche,Destination Tranche
Sous Allouer,Sub Allocate
Informations Sur les Nouvelles Tranches,New Tranche Information
Recherche pour Le source de Prêt ,Search For Source Loan
Informations sur la Ligne de Crédit,Facility Line Information
Servis Sur,Availed On
Numéro de Référence de la Demande de Prêt / Nom du client,Loan Application Reference Number/customer Name
Détails de Crédit,Facility Details
Numéro de compte CASA 2:,CASA Account Number 2 :
type de prêt,loan Type
Le montant principal,Principal Amount
Ténor (Jours),Tenor (Days)
Taux de l'indice des prix des produits,Product Price Index Rate
État de la ligne directrice prudentielle du système,System Prudential Guideline Status
Statut des Directives prudentielles de l'utilisateur,User Prudential Guideline Status
Date Décaissés,Date Disbursed
Commentaire du Décaisseur,Disburser Comment
Numéro de Compte Nostro,Nostro Account Id
Code Tarifaire Nostro,Nostro Rate Code
Montant du Taux Nostro,Nostro Rate Amount
Devise Nostro,Notstro Currency
Détails du Crédit de découvert,Overdraft Facility Details
Obtenez le Solde,Get Balance
Nom Du Produit,Product Name
Limite de Découvert,Overdraft Limit
RM actuel,Current RM
Date de début,Start Date
Date de Fin,End Date
Nouveau RM,New RM
Raison Du Changement,Reason For Change
Recherche de prêt,Loan Search
Opérations de Récupération,Recovery Operations
Montant des intérêts courus,Interest Accrued Amount
Montant radié,WrittenOff Amount
Montant À Récupérer,Amount To Recover
Agent de Récupération,Recovery Agent
--- Sélectionnez Agent de récupération ---,--- Select Recovery Agent ---
Mode de Paiement,Payment Mode
--- Sélectionnez le Mode de Paiement ---,--- Select Payment Mode ---
Grand Livre Général,General Ledger
Date,Date
Montant,Amount
Détails De L'échancier,Schedule Details
Performance du prêt,Loan Performance
Saisissez votre paramètre de recherche (LoanReferneceNo ou CustomerName),Type in your search parameter (LoanReferneceNo or CustomerName)
État des Performances du Système,System Performance Status
--- Sélectionnez l'État des Performances ---,--- Select Performance Status ---
Les détails,Details
Détails du prêt,Loan Details
Les Commissions Sur Prêts Frais De,Loan Fee Charge
Montant de Frais,Fee Amouunt
Montant Gagné,Earned Amount
Montant non gagné,Unearned Amount
Valeur du Taux des Frais,Fee Rate Value
Retournez,Return
"Entrez le Nom du client, le numéro de compte CASA ou le Numéro de référence du prêt","Enter Customer Name, CASA Account number or Loan Reference Number"
Modification des frais de facturation,Charge Fee Modification
Type de frais,Charge/Fee Type
Nouvelle Valeur de Taux,New Rate Value
Le Montant Du Remboursement,Refund Amount
Téléchargez un échantillon,Download Sample
Nom / code du client,Cusotmer Name / Code
Pouvez Prendre un Prêt,Can Take Loan
,true
,false
Référence du prêt,loan Ref
Détail des Comptes de pertes de prêts,Loan Written-off Accounts Detail
zoomer,Zoom In
Zoom Arrière,Zoom Out
Lat,Lat
Lng,Lng
Glissez,Drag
Ajoutez un Marqueur,Add Marker
Résumé des Détails du Crédit,Facility Detail Summary
Détails de Crédit,Facility Details
Numéro de référence CRMS:,CRMS Reference Number:
Nom du Compte Produit de CASA,CASA Product Account Name
Propager,Spread
Fréquence de Remboursement des Intérêts,Interest Repayment Frequency
Est performant,Is performing
Fréquence de Remboursement du Capital,Principal Repayment Frequency
Est radié,Is written off
Devise Nostro,Nostro Currency
Détails de Crédit,Facility Details
Détails du Crédit de découvert,Overdraft Facility Details
Montant tiré,Drawn Amount
Montant non prélevé,Undrawn Amount
Détails du Crédit de découvert,Overdraft Facility Details
Détails du Passif Éventuel,Contingent Liability Details
Détails de Contrat,Covenant Details
Détails des frais,Fees Details
Détails de la garantie,Collateral Details
Détails De L'échancier,Schedule Details
Date de La Dernière Restructuration,Last Restructure Date
Numéro de référence du prêt lié,Related Loan Ref Number
Montant du principal impayé,Outstanding Principal Amount
Crédits Liés,Related Facilities
Numéro de référence de la source,Source Reference Number
Le Montant Du Crédit,Credit Amount
Montant du débit,Debit Amount
valueDate,valueDate
Publiez la Devise,Post Currency
Détail de la Transaction,Transaction Detail
Date de début,Start Date
Date de Fin,End Date
Obtenez les charges à payer,Get Accrual
Catégorie d'accumulation Quotidienne,Daily Accrual Category
Montant accumulé quotidien,Daily Accrual Amount
Intérêts accumulés quotidiens,Daily Interest Accrual
Date Demandée,Date Requested
Contingent Untilization,Contingent Untilization
Le numéro de référence du Réenregistrement,Rebook Reference Number
L'Opération Terminée,Operation Completed
Montant du bon,Bond Amount
Date de Réenregistrement,Rebook Date
Exposition Avant Le Rebook,Exposure Before Rebook
Qui A Effectué L'Opération Précédente,Who Performed Previous Operation
Opérations LMS,LMS Operations
Est Utilisé,Is Used
Instruction de Maturité,Maturity Instruction
Modèle de remboursement Complet et Final,Full and Final Repayment Pattern
Historique des détails du Crédit ,Facility Details History
Historique des Prêts à Découvert,Overdraft Loan History
Historique des Détails de l'échancier,Schedule Details History
Détails Relatifs au Passif Éventuel,Related Contingent Liability Details
Prêt RENOUVELABLE FX-Paiement,FX REVOLVING Loan - Payment
Taux D'Intérêt,Interest Rate
Nouveau Solde Principal,New Principal Balance
Intérêt à ce jour,Interest To Date
Réduire le principal,Reduce Principal
Montant de la Nouvelle Échéance,New Maturity Amount
Opération D'Examen des Prêts Commerciaux,Commercial Loan Review Operation
Opération d'Examen des Prêts Renouvelables FX,FX Revolving Loan Review Operation
Opérations D'Examen de la Ligne de Crédit,Facility Line Review Operations
Changement de ténor,Tenor Change
Changement de taux d'intérêt,Interest Rate Change
Modification de montant de la ligne de Crédit,Line Facility Amount Change
Détails de la garantie,Collateral Details
Recherche de Demande d'Examen de Prêt,Loan Review Application Search
Examiner les demandes,Review Applications
Référence Lié,Related Reference
Personne,Person
Condition précédente,Condition Precidence
Annulation de l'Examen du Prêt,Loan Review Cancellation
Lettre D'Offre Générée,Generated Offer Letter
Imprimer Au Format PDF,Print To PDF
Remboursement Anticipé Du Prêt En Vrac,Bulk Loan Prepayment Reversal
Remboursement Anticipé Du Prêt En Vrac,Bulk Loan Prepayment Reversal
Date de Paiement Anticipé,Prepayment Date
Charger,Load Selected
Recherche De Prêt À Remboursement Anticipé Actuel,Search For Current Prepayment Loan
Réduire le téléchargement,Collapse upload
téléchargement en masse,Bulk upload
Télécharger le Fichier,Upload File
Tous Les Paiements Anticipés,All Prepayments
Paiements Anticipés Par Lots,Batch Prepayments
Modifier Le Montant du Prépaiement,Edit Prepayment Amount
Informations sur le Prépaiement,Prepayment Information
Envoyer pour approbation,Send for Approval
Envoyer pour approbation,Send for Approval
Remboursement Anticipé du Prêt,Loan Prepayment Reversal
Montant de l'acompte saisi à la date d'exécution actuelle,Prepayment Amount Entered As At Current Run Date
Simulation d'élément de Liste de contrôle,Checklist Item Simulation
Variation Des Taux D'Intérêt Mondiaux,Global Interest Rate Change
hasBeenApplied,hasBeenApplied
A Été Appliqué,Has Been Applied
Ajouter / Mettre à Jour l'Indice des Prix Mondiaux,Add/Update Global Price Index
Indice des Prix des Produits,Product Price Index
Date D'Entrée En Vigueur,Effective Date
Ancien Taux,Old Rate
Nouveau Taux,New Rate
Le Marché Est Il Induit,Is Market Induced
Terminé Les Prêts,Completed Loans
EffectiveDate,EffectiveDate
Prêt Aperçu,Loan Preview
Numéro de Référence du Prêt,Loan Reference Number
Nom du Type de Produit,Product Type Name
Nom du Gestionnaire de Relations,Relationship Manager Name
OutstandingInterest,OutstandingInterest
Marquer Le Prêt Comme Terminé,Mark Loan As Completed
Annuler le Contingent Actif,Cancel In-Active Contingent
Annuler Le Passif Éventuel,Cancel Contingent Liability
Recherche De Prêt,Search For Loan
La Raison De L'Annulation,Reason For Cancellation
Décaisser,Disburse
N ° De Référence,Reference No
Montant À décaisser,Amount Disburse
Saisissez le code CRMS pour la réservation de Crédit,Capture CRMS Code For Facility Booking
Saisissez le code CRMS,Capture CRMS Code
Générez Plusieurs Codes CRMS,Generate Multiple CRMS Code
Générez CRMS301,Generate CRMS300
Générez le Code CRMS en masse,Generate Bulk CRMS Code
Saisissez le code CRMS,Capture CRMS Code
Acheminement des Disponibilités,Availment Routing
Applications de Disponibilité LOS,LOS Availment Applications
Date d'Approbation,Approval Date
Acheminé À,Routed To
Applications de disponibilité LMS,LMS Availment Applications
Radiation complète et définitive,Full and Final Complete Wrote-off
Informations Complètes Et Finales Sur La Passation Par Profits Et Pertes,Full And Final Complete Write-off Information
Passation Par Profits Et Pertes Complète Et Définitive,Full And Final Complete Write-off
La Recherche De Prêt,Search Loan
Détails Complets Et Finaux,Full And Final Details
Détails du prêt,Loan Details
Montant impayé initial:,Initial Outstanding Amount:
Actuel Encours:,Current Outstanding Amount:
Nouveau Statut,New Status
Les Détails De L'Accord,Agreement Details
Montant du Paiement Convenu,Agreed Payment Amount
Les Détails De L'Accord,Agreement Details
Feuille,Term Sheet
Condition de sécurité,Security Condition
Autre condition,Other Condition
Les impôts,Taxes
Transférabilité,Transferability
Feuille,Term Sheet
Emprunteur,Borrower
Compte autorisé,Permitted Account
Annulation,Cancellation
Paiement d'intérêts,Interest Payment
Monnaie De Décaissement,Currency Of Disbursement
Documentation,Documentation
prélèvement ,Drawdown
Remboursement Anticipé Du Capital,Early Repayment Of Principal
Tarification,Pricing
Les Frais De Gestion,Management Fees
Les Frais Du Crédit,Facility Fee
Conditions précédentes À L'Utilisation,Conditions Precedent To Utilisation
Présentations Et Garanties,Presentations And Warrantees
Contrats,Covenants
Un Cas de défaut,Events Of Default
Loi applicable et juridiction,Governing Law And Jurisdiction
Déclencheur de surveillance de prêt,Loan Monitoring Trigger
Dynamique des transactions de prêt,Loan Transaction Dynamics
Frais de prêt,Loan Charge/Fee
Taux D'Intérêt,Interest Rate
Date D'Entrée En Vigueur,Effective Date
Date d'Échéance,Maturity Date
Limite de Découvert,Overdraft Limit
Montant Éventuel,Contingent Amount
Date d'Échéance,Maturity Date
Lettre D'Offre Générée,Generated Offer Letter
Dérouter,Re-route
Gestion des Documents Originaux,Original Documents Management
Opération de Gestion de Documents,Document Management Operation
Nouveau Téléchargement de Document,New Document Upload
Rechercher un document Téléchargé,Search Uploaded Document
Gestion des Documents Originaux,Original Documents Management
Télécharger le Fichier,Upload File
Présentation des Documents originaux,Submission of Original Documents
Recherche Pour La Garantie,Search For Collateral
Menu Principal,Main Menu
Les Documents Originaux,Original Documents
,&apos;n/a&apos;
Affichez les Documents,View Documents
Détail du Document Original,Original Document Detail
Numéro de référence de l'application,Application ReferenceNumber
Est un Titre Original du Document,Is an Original Title Document
Retour,Back
Retour,Back
Les Documents Téléchargés,Uploaded Documents
Fermer,close
Application (s) LC,LC Application(s)
Recherche de LC pour améliorer,Search for LC to Enhance
Recherche de LC à étendre,Search for LC to Extend
ID LC,LC ID
Montant LC,LC Amount
Montant total libéré,Total Released Amount
Montant Disponible Pour Libération,Available Amount For Release
Montant de la libération,Release Amount
Émissions LC,LC Issuances
Sélectionnez La Libération:,Select Release:
-- sélectionnez montant pour voir les détails de la version--,--select amount to see release details--
Montant de la libération:,Release Amount:
Enregistrer Le Montant de la libération,Save Release Amount
Documents d'Expédition,Shipping Documents
Détails d'émission de Lc,Lc Issuance Details
pour le LCID:,for LCID:
Émission de Lc,Lc Issuance
Nom du Bénéficiaire,Beneficiary Name
Numéro de Téléphone du Bénéficiaire,Beneficiary Phone Number
Adresse du Bénéficiaire,Beneficiary Address
Courriel du Bénéficiaire,Beneficiary Email
Banque Du Bénéficiaire,Beneficiary Bank
Type de LC,LC Type
--- Sélectionnez le type LC ---,--- Select LC Type ---
Traite de LC Requis,LC Draft Required
Numéro de référence Lc,Lc Reference Number
date d'expiration LC,LC Expirydate
Source de fonds,Fund Source
--- Sélectionnez la source du Fonds LC ---,--- Select LC Fund Source ---
--- Sélectionnez Compte de Collection ---,--- Select Collection Account ---
--- Sélectionnez la ligne IFF ---,--- Select IFF Line ---
Numéro du FORMULAIRE M,FORM M Number
Montant Approuvé,Total Approved Amount
Valeur de Tolérance (%),Tolerance Value (%)
Valeur de Tolérance,Tolerance Value
Date de Facture Pro Forma,Proforma Invoice Date
Date d'Échéance de La Facture Pro Forma,Proforma Invoice Due Date
Cycle de Transaction (Jours):,Transaction Cycle(Days):
Détails d'émission de LC,LC Issuance details
Date d'établissement du LC,LC Establishment Date
Plan D'Accumulation De Trésorerie,Cash Build Up Plan
Documents requis par LC,LC Required Documents
Expédition,Shipping
Garantie (s) de ligne,Line Collateral(s)
Conditions De La Ligne,Line Conditions
Dynamique des Transactions en Ligne,Line Transaction Dynamics
Détails de la ligne IFF,IFF Line Details
Détails d'Usance de Lc,Lc Usance Details
Sélectionnez Commercial:,Select Usance:
--sélectionnez commercial pour voir les détails--,--select usance to see details--
Sélectionnez l'extension Usance:,Select Usance Extension:
-- sélectionnez l'extension usance pour voir les détails--,--select usance extension to see details--
Commercial Montant:,Usance Amount:
Commercial Taux De (%),Usance Rate (%)
Date de Valeur d'Usance:,Usance Value Date:
Commercial Ténor (Jours),Usance Tenor (Days)
Proposé Commercial Ténor (Jours),Proposed Usance Tenor (Days)
Approuvé Commercial Ténor (Jours),Approved Usance Tenor (Days)
Date d'échéance de l'Usance,Usance Maturity Date
Montant LC encours:,Outstanding LC Amount:
Proposé Commercial Date D'Échéance,Proposed Usance Maturity Date
Date d'échéance de l'Usance Approuvée,Approved Usance Maturity Date
Réinitialiser,Reset
Enregistrer les détails d'utilisation LC,Save LC Usance Details
LC Commercial,LC Usance
